date,open,high,low,close,volume
2024-11-28,24.556,24.936,24.216,24.546,1112144.0
2024-11-29,24.576,25.926,24.536,25.186,1447337.0
2024-12-02,25.206,26.426,25.206,25.806,1556197.0
2024-12-03,25.706,25.746,25.096,25.316,826321.0
2024-12-04,25.256,25.286,24.596,24.786,697909.0
2024-12-05,24.656,25.106,24.606,24.726,696025.0
2024-12-06,24.726,25.856,24.706,25.426,1136852.0
2024-12-09,25.456,26.006,25.186,25.626,905245.0
2024-12-10,26.496,26.926,25.986,26.036,1561736.0
2024-12-11,25.916,28.006,25.686,27.256,1998111.0
2024-12-12,27.816,28.076,26.866,27.106,1361670.0
2024-12-13,26.966,27.526,26.266,26.396,1132126.0
2024-12-16,26.366,26.756,25.556,25.766,976454.0
2024-12-17,25.726,26.276,25.506,25.606,912598.0
2024-12-18,25.706,26.756,25.346,26.226,1217811.0
2024-12-19,25.836,27.246,25.776,27.136,1485017.0
2024-12-20,27.076,28.806,26.956,27.976,1898161.0
2024-12-23,28.006,28.256,26.506,26.566,1652891.0
2024-12-24,26.626,26.976,26.316,26.566,1045734.0
2024-12-25,26.716,27.356,26.586,26.796,1100181.0
2024-12-26,26.606,28.086,26.476,28.086,1453473.0
2024-12-27,27.906,27.906,26.596,26.686,1512790.0
2024-12-30,26.716,27.356,26.376,26.956,1050686.0
2024-12-31,27.016,27.056,25.426,25.516,1352106.0
2025-01-02,25.366,25.756,24.366,24.656,1076826.0
2025-01-03,24.896,25.286,24.316,24.706,1069914.0
2025-01-06,24.466,25.006,23.856,24.126,879042.0
2025-01-07,24.126,25.156,23.996,25.146,1041000.0
2025-01-08,24.906,24.976,23.916,24.746,999894.0
2025-01-09,24.656,25.286,24.506,24.756,803514.0
2025-01-10,24.606,24.876,24.116,24.386,728757.0
2025-01-13,24.006,24.186,23.406,23.596,763779.0
2025-01-14,23.736,25.036,23.236,25.026,1110486.0
2025-01-15,24.856,24.986,24.416,24.546,655667.0
2025-01-16,24.786,25.156,24.206,24.476,717860.0
2025-01-17,24.216,24.836,24.066,24.546,548966.0
2025-01-20,24.806,25.286,24.716,24.796,718237.0
2025-01-21,25.086,27.306,25.006,26.906,2502854.0
2025-01-22,27.006,27.266,26.656,27.016,1615728.0
2025-01-23,27.116,27.166,26.016,26.146,1353175.0
2025-01-24,26.186,27.986,26.086,27.856,1798687.0
2025-01-27,27.506,27.766,27.066,27.466,1154248.0
2025-02-05,27.996,28.586,27.426,27.486,1565106.0
2025-02-06,27.356,29.566,27.286,29.156,1901906.0
2025-02-07,29.356,29.946,28.606,29.136,1722543.0
2025-02-10,29.146,29.156,28.406,28.976,1340194.0
2025-02-11,29.036,29.226,28.506,28.806,918221.0
2025-02-12,28.906,29.706,28.506,29.296,1220359.0
2025-02-13,28.826,28.926,27.736,27.746,1390276.0
2025-02-14,27.706,27.996,27.386,27.676,857631.0
2025-02-17,27.506,28.046,27.466,27.826,942522.0
2025-02-18,27.706,28.146,27.206,27.406,880975.0
2025-02-19,27.366,28.306,27.256,28.246,1109212.0
2025-02-20,28.736,30.026,28.556,29.296,1908126.0
2025-02-21,29.396,29.976,29.106,29.656,1530063.0
2025-02-24,29.706,30.006,29.106,29.316,1137722.0
2025-02-25,28.676,30.296,28.546,29.676,1318838.0
2025-02-26,29.586,29.656,28.816,29.236,895437.0
2025-02-27,30.186,30.336,29.066,30.006,1514081.0
2025-02-28,29.286,29.876,27.956,28.116,1327939.0
2025-03-03,28.106,28.396,27.516,27.706,792544.0
2025-03-04,27.436,27.956,27.236,27.816,645148.0
2025-03-05,27.716,27.896,27.356,27.756,559326.0
2025-03-06,27.986,28.536,27.906,28.306,746237.0
2025-03-07,28.316,28.716,27.706,27.796,597860.0
2025-03-10,27.576,27.936,27.326,27.776,505428.0
2025-03-11,27.226,27.766,27.206,27.566,485120.0
2025-03-12,27.696,27.886,27.386,27.596,538923.0
2025-03-13,27.436,27.446,26.116,26.356,999041.0
2025-03-14,26.296,26.966,26.116,26.896,655500.0
2025-03-17,26.986,27.236,26.866,26.926,409109.0
2025-03-18,26.996,27.986,26.806,27.636,815739.0
2025-03-19,27.486,27.786,27.236,27.706,508806.0
2025-03-20,27.806,27.866,27.366,27.406,492159.0
2025-03-21,27.296,27.746,26.596,26.696,542249.0
2025-03-24,26.896,27.746,26.706,27.276,728990.0
2025-03-25,27.106,27.416,26.356,26.486,580765.0
2025-03-26,26.466,27.076,26.336,26.656,388556.0
2025-03-27,26.806,26.806,25.836,26.426,448673.0
2025-03-28,26.506,26.686,26.256,26.396,308965.0
2025-03-31,26.306,26.336,25.486,25.846,583599.0
2025-04-01,25.996,26.276,25.656,25.706,433986.0
2025-04-02,25.706,25.796,25.336,25.696,404860.0
2025-04-03,24.456,24.506,23.096,23.096,1734110.0
2025-04-07,20.756,20.756,20.756,20.756,169634.0
2025-04-08,18.656,18.896,18.656,18.656,795455.0
2025-04-09,17.106,18.726,16.816,18.586,2825009.0
2025-04-10,20.466,20.476,19.606,20.416,2811731.0
2025-04-11,19.916,21.356,19.506,20.786,2233564.0
2025-04-14,22.206,22.286,20.916,21.036,2159822.0
2025-04-15,20.806,21.236,20.186,20.586,1184946.0
2025-04-16,20.326,20.376,19.596,19.886,986596.0
2025-04-17,19.706,20.286,19.706,19.856,713751.0
2025-04-18,19.886,20.366,19.876,20.346,823781.0
2025-04-21,20.356,21.106,20.056,21.046,936728.0
2025-04-22,21.126,21.126,20.526,20.536,808706.0
2025-04-23,21.306,21.836,20.856,21.106,1122830.0
2025-04-24,21.116,21.176,20.476,20.596,683794.0
2025-04-25,20.596,21.106,20.566,20.746,748236.0
2025-04-28,20.566,20.676,20.206,20.256,604169.0
2025-04-29,20.256,20.586,20.036,20.556,534179.0
2025-04-30,20.636,20.996,20.406,20.886,593032.0
2025-05-06,21.086,21.786,21.086,21.776,896171.0
2025-05-07,22.266,22.346,21.256,21.426,945232.0
2025-05-08,21.426,22.186,21.316,21.976,983555.0
2025-05-09,21.846,21.866,21.456,21.636,642075.0
2025-05-12,22.406,23.006,22.186,22.866,1558247.0
2025-05-13,23.676,23.696,22.556,22.576,1571836.0
2025-05-14,22.546,22.706,22.066,22.396,941706.0
2025-05-15,22.376,22.376,21.706,21.746,618365.0
2025-05-16,21.606,21.906,21.516,21.706,445818.0
2025-05-19,21.606,21.616,21.106,21.526,671197.0
2025-05-20,21.356,21.796,21.166,21.646,614813.0
2025-05-21,21.506,21.526,21.256,21.406,417254.0
2025-05-22,21.326,21.596,21.106,21.166,423606.0
2025-05-23,21.256,21.436,20.856,20.896,487328.0
2025-05-26,20.256,20.986,20.246,20.956,503020.0
2025-05-27,20.946,21.046,20.596,20.646,368843.0
2025-05-28,20.766,21.096,20.616,20.666,352464.0
2025-05-29,20.956,21.566,20.946,21.266,824588.0
2025-05-30,21.006,21.016,20.596,20.616,504603.0
2025-06-03,20.436,20.736,20.426,20.646,285096.0
2025-06-04,20.746,21.126,20.666,20.956,419959.0
2025-06-05,20.953,22.223,20.943,22.083,1203476.0
2025-06-06,22.003,22.133,21.673,21.763,593851.0
2025-06-09,21.943,22.243,21.813,22.043,515653.0
2025-06-10,21.963,22.273,21.603,21.933,737443.0
2025-06-11,21.933,22.573,21.853,22.143,649202.0
2025-06-12,22.053,22.803,22.003,22.283,825369.0
2025-06-13,22.133,22.553,21.733,21.863,537761.0
2025-06-16,21.753,22.503,21.703,22.173,604451.0
2025-06-17,22.373,23.243,22.373,22.813,1317396.0
2025-06-18,22.703,23.703,22.673,23.483,1256376.0
2025-06-19,23.403,23.673,22.873,23.073,713162.0
2025-06-20,22.993,23.033,22.543,22.633,515398.0
2025-06-23,22.453,23.003,22.403,22.773,564154.0
2025-06-24,22.983,23.323,22.843,23.243,778097.0
2025-06-25,23.333,23.743,23.003,23.573,844104.0
2025-06-26,23.743,23.803,23.153,23.253,645649.0
2025-06-27,23.413,23.673,22.853,23.253,710234.0
2025-06-30,23.323,23.413,23.043,23.173,660581.0
2025-07-01,23.173,23.243,22.743,23.053,564324.0
2025-07-02,22.963,22.963,22.443,22.513,530029.0
2025-07-03,22.623,23.763,22.613,23.553,1522633.0
2025-07-04,23.423,23.423,22.963,22.993,663461.0
2025-07-07,22.953,22.953,22.013,22.043,1116057.0
2025-07-08,22.033,22.523,22.003,22.493,716636.0
2025-07-09,22.513,22.943,22.353,22.443,698039.0
2025-07-10,22.403,22.723,22.263,22.533,415691.0
2025-07-11,22.523,22.693,22.223,22.533,466157.0
2025-07-14,22.513,22.593,22.293,22.293,427679.0
2025-07-15,22.343,22.513,22.063,22.363,578159.0
2025-07-16,22.433,22.693,22.073,22.113,701543.0
2025-07-17,22.023,23.383,21.953,23.143,1724037.0
2025-07-18,23.053,23.153,22.483,22.563,1049497.0
2025-07-21,22.563,22.943,22.473,22.883,714909.0
2025-07-22,22.853,24.303,22.773,23.663,1841914.0
2025-07-23,24.053,24.053,23.313,23.393,1156430.0
2025-07-24,23.573,23.903,23.483,23.683,920030.0
2025-07-25,23.743,24.003,23.533,23.643,705447.0
2025-07-28,23.793,23.883,23.333,23.453,772834.0
2025-07-29,23.353,23.423,23.023,23.423,558317.0
2025-07-30,23.383,23.593,23.053,23.193,720645.0
2025-07-31,23.113,23.493,22.753,22.873,801898.0
2025-08-01,22.873,23.443,22.653,22.733,764359.0
2025-08-04,22.473,22.703,22.213,22.683,521988.0
2025-08-05,22.763,23.153,22.703,22.923,544059.0
2025-08-06,22.853,22.903,22.553,22.883,557783.0
2025-08-07,23.563,23.983,23.163,23.173,1498852.0
2025-08-08,23.073,23.153,22.633,22.713,782650.0
2025-08-11,22.863,23.963,22.863,23.843,1907937.0
2025-08-12,23.763,24.083,23.533,23.723,773006.0
2025-08-13,23.843,24.113,23.633,24.013,989915.0
2025-08-14,24.073,25.703,23.923,25.533,2411485.0
2025-08-15,25.263,26.513,25.233,25.983,1872169.0
2025-08-18,26.053,28.593,26.053,28.163,2537396.0
2025-08-19,28.083,28.833,27.773,28.053,1569353.0
2025-08-20,28.053,29.333,27.853,28.853,1662977.0
2025-08-21,28.853,30.273,28.753,29.533,1957844.0
2025-08-22,29.853,31.063,29.263,29.723,2253313.0
2025-08-25,31.133,31.853,30.483,30.813,2319585.0
2025-08-26,30.433,33.913,30.273,33.913,2408732.0
2025-08-27,33.683,35.733,33.043,34.243,2836955.0
2025-08-28,34.143,34.863,33.193,34.783,2292830.0
2025-08-29,34.733,37.023,33.803,36.573,2389395.0
2025-09-01,36.593,36.853,34.353,35.533,2193758.0
